iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,10459.0,352.0,286605.0,8102.0,0.53,69.66,0.645,1417173120.0,202.23711271068984,5.717015010840736
IND,India,10930.0,396.0,297535.0,8498.0,0.53,69.66,0.645,1417173120.0,209.94964962361126,5.9964445275394445
IND,India,11458.0,386.0,308993.0,8884.0,0.53,69.66,0.645,1417173120.0,218.03475922546428,6.268817743311417
IND,India,11929.0,311.0,320922.0,9195.0,0.53,69.66,0.645,1417173120.0,226.4522206009665,6.488268702132877
IND,India,11502.0,325.0,332424.0,9520.0,0.53,69.66,0.645,1417173120.0,234.56837792689717,6.717598482251766
IND,India,10667.0,380.0,343091.0,9900.0,0.53,69.66,0.645,1417173120.0,242.09533412544545,6.985737917467698
IND,India,10974.0,2003.0,354065.0,11903.0,0.53,69.66,0.645,1417173120.0,249.83891876244448,8.399114993092729
IND,India,12881.0,334.0,366946.0,12237.0,0.53,69.66,0.645,1417173120.0,258.9281399861719,8.634795444045679
IND,India,13586.0,336.0,380532.0,12573.0,0.53,69.66,0.645,1417173120.0,268.51483042523415,8.871887155183977
IND,India,14516.0,375.0,395048.0,12948.0,0.53,69.66,0.645,1417173120.0,278.75775685048274,9.13649843993654
IND,India,15403.0,306.0,410451.0,13254.0,0.53,69.66,0.645,1417173120.0,289.62657716793274,9.352421248294633
IND,India,14831.0,445.0,425282.0,13699.0,0.53,69.66,0.645,1417173120.0,300.0917770723735,9.666426639534343
IND,India,14933.0,312.0,440215.0,14011.0,0.53,69.66,0.645,1417173120.0,310.6289512462669,9.886583228448476
IND,India,15968.0,465.0,456183.0,14476.0,0.53,69.66,0.645,1417173120.0,321.89645256607747,10.214701221541656
IND,India,16922.0,418.0,473105.0,14894.0,0.53,69.66,0.645,1417173120.0,333.8371249942985,10.50965460027918
IND,India,17296.0,407.0,490401.0,15301.0,0.53,69.66,0.645,1417173120.0,346.0417030771794,10.796846047997297
IND,India,18552.0,384.0,508953.0,15685.0,0.53,69.66,0.645,1417173120.0,359.13255255645834,11.067808003583924
IND,India,19906.0,410.0,528859.0,16095.0,0.53,69.66,0.645,1417173120.0,373.1788251812171,11.35711634158006
IND,India,19459.0,380.0,548318.0,16475.0,0.53,69.66,0.645,1417173120.0,386.9096811545508,11.625255776795992
IND,India,18522.0,418.0,566840.0,16893.0,0.53,69.66,0.645,1417173120.0,399.9793617310495,11.920209155533517
IND,India,18641.0,507.0,585481.0,17400.0,0.53,69.66,0.645,1417173120.0,413.1330122885763,12.277963612518985
IND,India,19160.0,434.0,604641.0,17834.0,0.53,69.66,0.645,1417173120.0,426.65288486420064,12.584207072739286
IND,India,20903.0,379.0,625544.0,18213.0,0.53,69.66,0.645,1417173120.0,441.4026706913549,12.851640877862543
IND,India,22771.0,442.0,648315.0,18655.0,0.53,69.66,0.645,1417173120.0,457.4705735316233,13.163529378824233
IND,India,24850.0,613.0,673165.0,19268.0,0.53,69.66,0.645,1417173120.0,475.0054813345599,13.59608062563309
IND,India,24248.0,425.0,697413.0,19693.0,0.53,69.66,0.645,1417173120.0,492.115599821707,13.89597341501933
IND,India,22251.0,466.0,719664.0,20159.0,0.53,69.66,0.645,1417173120.0,507.8165750137852,14.224797038205184
IND,India,22753.0,483.0,742417.0,20642.0,0.53,69.66,0.645,1417173120.0,523.8717765123854,14.565616372966486
IND,India,24879.0,487.0,767296.0,21129.0,0.53,69.66,0.645,1417173120.0,541.4271475880096,14.909258228098484
IND,India,26506.0,475.0,793802.0,21604.0,0.53,69.66,0.645,1417173120.0,560.1305788244135,15.244432522118398
IND,India,27114.0,519.0,820916.0,22123.0,0.53,69.66,0.645,1417173120.0,579.2630331571629,15.610654540215947
IND,India,28606.0,550.0,849522.0,22673.0,0.53,69.66,0.645,1417173120.0,599.4482875881812,15.998751091186376
IND,India,28732.0,501.0,878254.0,23174.0,0.53,69.66,0.645,1417173120.0,619.7224514108764,16.3522717676158
IND,India,28498.0,553.0,906752.0,23727.0,0.53,69.66,0.645,1417173120.0,639.8314977918859,16.74248520886425
IND,India,29429.0,582.0,936181.0,24309.0,0.53,69.66,0.645,1417173120.0,660.5974857891745,17.15316192280023
IND,India,32676.0,605.0,968857.0,24914.0,0.53,69.66,0.645,1417173120.0,683.6546546973739,17.5800681288677
IND,India,34975.0,688.0,1003832.0,25602.0,0.53,69.66,0.645,1417173120.0,708.3340671886297,18.06554163262707
IND,India,35252.0,671.0,1039084.0,26273.0,0.53,69.66,0.645,1417173120.0,733.2089392155561,18.53901942481099
IND,India,38697.0,543.0,1077781.0,26816.0,0.53,69.66,0.645,1417173120.0,760.5147069117427,18.922176565132705
IND,India,40425.0,681.0,1118206.0,27497.0,0.53,69.66,0.645,1417173120.0,789.0398034080691,19.40271065824336
IND,India,37132.0,585.0,1155338.0,28082.0,0.53,69.66,0.645,1417173120.0,815.2412600092217,19.815504262457363
IND,India,37740.0,650.0,1193078.0,28732.0,0.53,69.66,0.645,1417173120.0,841.8717397067198,20.27416382269514
IND,India,45720.0,1129.0,1238798.0,29861.0,0.53,69.66,0.645,1417173120.0,874.1331475437524,21.070820197323528
IND,India,49310.0,740.0,1288108.0,30601.0,0.53,69.66,0.645,1417173120.0,908.927767413483,21.592986465901923
IND,India,48916.0,757.0,1337024.0,31358.0,0.53,69.66,0.645,1417173120.0,943.4443690267001,22.127148446055767
IND,India,48611.0,702.0,1385635.0,32060.0,0.53,69.66,0.645,1417173120.0,977.7457534616519,22.622500771112566
IND,India,49981.0,711.0,1435616.0,32771.0,0.53,69.66,0.645,1417173120.0,1013.0138511235664,23.124203767003426
IND,India,44457.0,637.0,1480073.0,33408.0,0.53,69.66,0.645,1417173120.0,1044.3840481535524,23.57369013603645
IND,India,51596.0,785.0,1531669.0,34193.0,0.53,69.66,0.645,1417173120.0,1080.7917384151344,24.12760975878515
IND,India,50294.0,762.0,1581963.0,34955.0,0.53,69.66,0.645,1417173120.0,1116.2806982960558,24.665299889402363
IND,India,52783.0,763.0,1634746.0,35718.0,0.53,69.66,0.645,1417173120.0,1153.5259714776414,25.203695650112245
IND,India,61242.0,793.0,1695988.0,36511.0,0.53,69.66,0.645,1417173120.0,1196.7401696131521,25.763260313602334
IND,India,54735.0,853.0,1750723.0,37364.0,0.53,69.66,0.645,1417173120.0,1235.3628327356364,26.365162782652835
IND,India,52972.0,771.0,1803695.0,38135.0,0.53,69.66,0.645,1417173120.0,1272.7414700047373,26.90920358410411
IND,India,52050.0,803.0,1855745.0,38938.0,0.53,69.66,0.645,1417173120.0,1309.4695163283932,27.475824548520933
IND,India,52509.0,857.0,1908254.0,39795.0,0.53,69.66,0.645,1417173120.0,1346.5214468645863,28.080549537942126
IND,India,56282.0,904.0,1964536.0,40699.0,0.53,69.66,0.645,1417173120.0,1386.2357197404365,28.718439141718974
IND,India,62538.0,886.0,2027074.0,41585.0,0.53,69.66,0.645,1417173120.0,1430.3644144760522,29.3436274038277
IND,India,61537.0,933.0,2088611.0,42518.0,0.53,69.66,0.645,1417173120.0,1473.7867734889016,30.001980280292077
IND,India,64399.0,861.0,2153010.0,43379.0,0.53,69.66,0.645,1417173120.0,1519.2286458269828,30.609527790083966
IND,India,62064.0,1007.0,2215074.0,44386.0,0.53,69.66,0.645,1417173120.0,1563.0228718986712,31.320097293406185
